iter	Passed	Remaining
0	0	53
1	0	48
2	1	46
3	1	42
4	2	41
5	2	40
6	2	39
7	3	39
8	3	38
9	4	37
10	4	37
11	5	37
12	5	36
13	5	36
14	6	35
15	6	34
16	7	34
17	7	33
18	7	33
19	8	33
20	8	32
21	9	32
22	9	31
23	9	31
24	10	31
25	10	30
26	11	30
27	11	29
28	11	29
29	12	28
30	12	28
31	13	28
32	13	27
33	14	27
34	14	26
35	14	26
36	15	26
37	15	25
38	16	26
39	17	25
40	17	25
41	17	24
42	18	23
43	18	23
44	18	23
45	19	22
46	19	22
47	20	21
48	20	21
49	20	20
50	21	20
51	21	20
52	22	19
53	22	19
54	22	18
55	23	18
56	23	17
57	23	17
58	24	17
59	25	16
60	26	16
61	26	16
62	26	15
63	27	15
64	28	15
65	28	14
66	29	14
67	29	13
68	30	13
69	30	13
70	31	12
71	31	12
72	32	11
73	32	11
74	32	10
75	33	10
76	33	10
77	34	9
78	34	9
79	35	8
80	35	8
81	35	7
82	36	7
83	36	7
84	37	6
85	37	6
86	37	5
87	38	5
88	38	4
89	39	4
90	39	3
91	40	3
92	40	3
93	40	2
94	41	2
95	41	1
96	42	1
97	42	0
98	42	0
99	43	0
